match_id,start_date,venue,innings,phase,runs_off_bat,extras,runs,0s,1s,2s,3s,4s,5s,6s,wickets_fallen
336005,2008,Jaipur,2,Middle,47,19,66,31,17,5,0,2,0,2,2
336005,2008,Jaipur,2,Powerplay,42,2,44,18,10,0,0,8,0,0,0
336006,2008,Bengaluru,1,Death,29,0,29,14,7,0,0,4,0,1,6
336006,2008,Bengaluru,1,Middle,64,7,71,20,24,4,0,8,0,0,1
336006,2008,Bengaluru,1,Powerplay,23,3,26,30,3,2,0,4,0,0,3
336006,2008,Bengaluru,2,Death,16,2,18,13,6,0,0,1,0,1,0
336006,2008,Bengaluru,2,Middle,51,6,57,27,20,2,1,6,0,0,3
336006,2008,Bengaluru,2,Powerplay,43,9,52,22,11,0,0,5,0,2,1
336007,2008,Chennai,1,Death,57,1,58,6,15,2,0,2,0,5,1
336007,2008,Chennai,1,Middle,51,1,52,27,17,5,0,6,0,0,3
336007,2008,Chennai,1,Powerplay,26,8,34,27,6,2,0,4,0,0,3
336007,2008,Chennai,2,Death,32,1,33,8,6,0,0,2,0,3,1
336007,2008,Chennai,2,Middle,62,3,65,25,21,0,1,8,0,1,1
336007,2008,Chennai,2,Powerplay,49,1,50,20,7,2,0,5,0,3,1
336010,2008,Kolkata,1,Death,13,1,14,3,1,0,0,0,0,2,1
336010,2008,Kolkata,1,Middle,72,2,74,21,18,5,0,8,0,2,4
336010,2008,Kolkata,1,Powerplay,39,2,41,21,10,1,0,4,1,1,2
336010,2008,Kolkata,2,Death,13,0,13,1,1,2,0,2,0,0,0
336010,2008,Kolkata,2,Middle,72,4,76,17,26,3,0,7,0,2,2
336010,2008,Kolkata,2,Powerplay,33,2,35,23,9,0,0,6,0,0,2
336011,2008,Jaipur,1,Death,34,3,37,14,12,0,0,4,0,1,4
336011,2008,Jaipur,1,Middle,52,1,53,20,26,4,0,3,0,1,4
336011,2008,Jaipur,1,Powerplay,48,2,50,19,8,1,0,8,0,1,0
336011,2008,Jaipur,2,Death,12,0,12,2,1,0,1,2,0,0,1
336011,2008,Jaipur,2,Middle,70,9,79,21,20,7,0,9,0,0,1
336011,2008,Jaipur,2,Powerplay,48,2,50,16,14,1,0,5,0,2,0
336012,2008,Bengaluru,1,Death,22,8,30,12,6,1,0,2,0,1,2
336012,2008,Bengaluru,1,Middle,53,3,56,27,21,3,0,5,0,1,5
336012,2008,Bengaluru,1,Powerplay,36,0,36,16,13,2,1,4,0,0,2
336012,2008,Bengaluru,2,Death,9,0,9,3,1,0,0,2,0,0,0
336012,2008,Bengaluru,2,Middle,74,4,78,25,20,0,0,6,0,5,1
336012,2008,Bengaluru,2,Powerplay,30,9,39,23,12,2,0,2,0,1,0
336013,2008,Chennai,1,Death,34,3,37,9,16,4,0,1,0,1,1
336013,2008,Chennai,1,Middle,87,4,91,21,20,3,1,7,0,5,1
336013,2008,Chennai,1,Powerplay,45,8,53,24,9,3,0,6,0,1,2
336013,2008,Chennai,2,Death,47,1,48,14,7,4,0,2,0,4,3
336013,2008,Chennai,2,Middle,78,2,80,17,24,6,0,3,0,5,4
336013,2008,Chennai,2,Powerplay,35,0,35,18,12,1,1,3,0,1,2
336014,2008,Hyderabad,1,Death,85,1,86,4,9,5,0,6,0,7,2
336014,2008,Hyderabad,1,Middle,71,4,75,24,19,4,0,8,0,2,1
336014,2008,Hyderabad,1,Powerplay,43,0,43,18,9,1,0,8,0,0,1
336014,2008,Hyderabad,2,Death,52,4,56,12,12,3,0,4,0,3,1
336014,2008,Hyderabad,2,Middle,63,7,70,26,17,4,0,2,0,5,3
336014,2008,Hyderabad,2,Powerplay,50,5,55,21,8,1,0,10,0,0,3
336015,2008,Jaipur,1,Death,58,2,60,10,8,4,0,3,0,5,2
336015,2008,Jaipur,1,Middle,44,5,49,25,20,10,0,1,0,0,4
336015,2008,Jaipur,1,Powerplay,43,4,47,15,14,1,1,6,0,0,1
336015,2008,Jaipur,2,Death,39,0,39,10,7,2,0,4,0,2,3
336015,2008,Jaipur,2,Middle,89,10,99,21,19,7,0,8,0,4,2
336015,2008,Jaipur,2,Powerplay,14,7,21,28,8,1,0,1,0,0,2
336017,2008,Kolkata,1,Death,37,1,38,8,17,2,0,1,0,2,3
336017,2008,Kolkata,1,Middle,54,6,60,23,30,1,0,4,0,1,2
336017,2008,Kolkata,1,Powerplay,31,4,35,23,11,0,0,5,0,0,1
336017,2008,Kolkata,2,Death,8,5,13,10,8,0,0,0,0,0,4
336017,2008,Kolkata,2,Middle,59,1,60,19,27,2,0,7,0,0,2
336017,2008,Kolkata,2,Powerplay,35,2,37,21,9,1,0,6,0,0,4
336018,2008,Mumbai,1,Death,61,6,67,9,13,1,0,7,0,3,2
336018,2008,Mumbai,1,Middle,55,6,61,35,11,2,0,10,0,0,2
336018,2008,Mumbai,1,Powerplay,28,0,28,22,8,2,0,4,0,0,2
336018,2008,Mumbai,2,Middle,72,8,80,27,12,2,0,8,0,4,1
336018,2008,Mumbai,2,Powerplay,70,8,78,25,3,0,1,4,0,8,0
336021,2008,Mumbai,1,Death,0,0,0,2,0,0,0,0,0,0,1
336021,2008,Mumbai,1,Middle,37,3,40,34,15,1,0,5,0,0,6
336021,2008,Mumbai,1,Powerplay,22,5,27,31,6,1,0,2,0,1,3
336021,2008,Mumbai,2,Powerplay,58,10,68,20,6,1,0,8,0,3,2
336023,2008,Jaipur,1,Death,52,2,54,3,14,7,0,6,0,0,0
336023,2008,Jaipur,1,Middle,76,16,92,21,24,2,0,9,0,2,1
336023,2008,Jaipur,1,Powerplay,43,8,51,21,9,2,0,6,0,1,0
336023,2008,Jaipur,2,Death,49,0,49,14,7,1,0,4,0,4,2
336023,2008,Jaipur,2,Middle,57,3,60,22,25,4,0,3,0,2,4
336023,2008,Jaipur,2,Powerplay,20,3,23,28,8,0,0,3,0,0,3
336024,2008,Hyderabad,1,Death,57,7,64,12,11,4,0,5,0,3,3
336024,2008,Hyderabad,1,Middle,45,12,57,26,25,1,0,3,0,1,3
336024,2008,Hyderabad,1,Powerplay,56,1,57,18,8,0,0,9,0,2,1
336024,2008,Hyderabad,2,Death,43,4,47,11,13,2,0,2,0,3,3
336024,2008,Hyderabad,2,Middle,73,1,74,18,23,4,0,6,0,3,1
336024,2008,Hyderabad,2,Powerplay,29,3,32,25,9,0,0,5,0,0,3
336025,2008,Kolkata,1,Death,45,3,48,11,9,4,0,7,0,0,3
336025,2008,Kolkata,1,Middle,60,6,66,24,22,4,0,3,0,3,0
336025,2008,Kolkata,1,Powerplay,31,4,35,22,9,1,0,5,0,0,2
336025,2008,Kolkata,2,Middle,11,1,12,5,7,0,0,1,0,0,0
336025,2008,Kolkata,2,Powerplay,40,3,43,20,10,1,0,7,0,0,0
336026,2008,Bengaluru,1,Death,52,0,52,9,12,2,0,3,0,4,4
336026,2008,Bengaluru,1,Middle,60,1,61,23,22,2,0,7,0,1,2
336026,2008,Bengaluru,1,Powerplay,33,8,41,26,7,2,0,4,0,1,1
336026,2008,Bengaluru,2,Death,30,1,31,9,6,0,0,3,0,2,1
336026,2008,Bengaluru,2,Middle,55,1,56,20,25,4,0,4,0,1,4
336026,2008,Bengaluru,2,Powerplay,61,10,71,13,11,1,0,12,0,0,0
336027,2008,Kolkata,1,Death,45,0,45,7,15,3,0,3,0,2,4
336027,2008,Kolkata,1,Middle,69,1,70,23,19,3,0,5,0,4,3
336027,2008,Kolkata,1,Powerplay,28,4,32,25,8,0,0,5,0,0,1
336027,2008,Kolkata,2,Death,20,2,22,4,2,2,0,2,0,1,0
336027,2008,Kolkata,2,Middle,81,5,86,22,15,6,0,9,0,3,1
336027,2008,Kolkata,2,Powerplay,42,0,42,18,10,1,0,6,0,1,3
336028,2008,Mumbai,1,Death,48,7,55,12,12,0,0,6,0,2,2
336028,2008,Mumbai,1,Middle,87,4,91,18,21,5,0,8,0,4,1
